p=5 M=32 (flip, M%8=0): C3(p) UNSAT (exp UNSAT), rung UNSAT (exp UNSAT) [OK, 0.0s]
p=5 M=36 (comp, M%8=4): C3(p) SAT (exp SAT), rung UNSAT (exp UNSAT) [OK, 0.0s]
p=5 M=40 (flip, M%8=0): C3(p) UNSAT (exp UNSAT), rung UNSAT (exp UNSAT) [OK, 0.0s]
p=5 M=44 (comp, M%8=4): C3(p) SAT (exp SAT), rung UNSAT (exp UNSAT) [OK, 0.0s]
p=5 M=48 (flip, M%8=0): C3(p) UNSAT (exp UNSAT), rung UNSAT (exp UNSAT) [OK, 0.0s]
p=5 M=52 (comp, M%8=4): C3(p) SAT (exp SAT), rung UNSAT (exp UNSAT) [OK, 0.0s]
p=5 M=56 (flip, M%8=0): C3(p) UNSAT (exp UNSAT), rung UNSAT (exp UNSAT) [OK, 0.0s]
p=5 M=60 (comp, M%8=4): C3(p) SAT (exp SAT), rung UNSAT (exp UNSAT) [OK, 0.0s]
p=5 M=256 (flip, M%8=0): C3(p) UNSAT (exp UNSAT), rung UNSAT (exp UNSAT) [OK, 7.2s]
p=5 M=260 (comp, M%8=4): C3(p) SAT (exp SAT), rung UNSAT (exp UNSAT) [OK, 7.0s]
p=7 M=32 (comp, M%8=0): C3(p) SAT (exp SAT), rung UNSAT (exp UNSAT) [OK, 0.0s]
p=7 M=36 (flip, M%8=4): C3(p) UNSAT (exp UNSAT), rung UNSAT (exp UNSAT) [OK, 0.0s]
p=7 M=40 (comp, M%8=0): C3(p) SAT (exp SAT), rung UNSAT (exp UNSAT) [OK, 0.0s]
p=7 M=44 (flip, M%8=4): C3(p) UNSAT (exp UNSAT), rung UNSAT (exp UNSAT) [OK, 0.0s]
p=7 M=48 (comp, M%8=0): C3(p) SAT (exp SAT), rung UNSAT (exp UNSAT) [OK, 0.0s]
p=7 M=52 (flip, M%8=4): C3(p) UNSAT (exp UNSAT), rung UNSAT (exp UNSAT) [OK, 0.1s]
p=7 M=56 (comp, M%8=0): C3(p) SAT (exp SAT), rung UNSAT (exp UNSAT) [OK, 0.0s]
p=7 M=60 (flip, M%8=4): C3(p) UNSAT (exp UNSAT), rung UNSAT (exp UNSAT) [OK, 0.1s]
