M=24 HALF-A {t0<b6,t2<b5}+(t1<m0): minimized AP-core, 45 triples (0s):
    (b1, b7, m0+1)  =  (25, 31, 37)   d=6
    (b1, m0-3, t7)  =  (25, 33, 41)   d=8
    (b1, m0, t1)  =  (25, 36, 47)   d=11
    (b2, b6, m0-2)  =  (26, 30, 34)   d=4
    (b2, m0, t2)  =  (26, 36, 46)   d=10
    (b4, b8, m0)  =  (28, 32, 36)   d=4
    (b4, m0+2, t0)  =  (28, 38, 48)   d=10
    (b5, b7, m0-3)  =  (29, 31, 33)   d=2
    (b5, m0-1, t7)  =  (29, 35, 41)   d=6
    (b5, m0, t5)  =  (29, 36, 43)   d=7
    (b5, m0+2, t1)  =  (29, 38, 47)   d=9
    (b6, m0, t6)  =  (30, 36, 42)   d=6
    (b6, m0+2, t2)  =  (30, 38, 46)   d=8
    (b7, m0, t7)  =  (31, 36, 41)   d=5
    (b7, m0+1, t5)  =  (31, 37, 43)   d=6
    (b7, m0+3, t1)  =  (31, 39, 47)   d=8
    (b8, m0, t8)  =  (32, 36, 40)   d=4
    (b8, m0+2, t4)  =  (32, 38, 44)   d=6
    (m0-3, m0-1, m0+1)  =  (33, 35, 37)   d=2
    (m0-3, m0, m0+3)  =  (33, 36, 39)   d=3
    (m0-2, m0+2, t6)  =  (34, 38, 42)   d=4
    (m0-2, t8, t2)  =  (34, 40, 46)   d=6
    (m0-1, m0+1, m0+3)  =  (35, 37, 39)   d=2
    (m0-1, m0+2, t7)  =  (35, 38, 41)   d=3
    (m0-1, t8, t3)  =  (35, 40, 45)   d=5
    (m0-1, t7, t1)  =  (35, 41, 47)   d=6
    (m0, m0+2, t8)  =  (36, 38, 40)   d=2
    (m0, m0+3, t6)  =  (36, 39, 42)   d=3
    (m0, t8, t4)  =  (36, 40, 44)   d=4
    (m0, t7, t2)  =  (36, 41, 46)   d=5
    (m0, t6, t0)  =  (36, 42, 48)   d=6
    (m0+1, m0+3, t7)  =  (37, 39, 41)   d=2
    (m0+2, t8, t6)  =  (38, 40, 42)   d=2
    (m0+2, t7, t4)  =  (38, 41, 44)   d=3
    (m0+2, t6, t2)  =  (38, 42, 46)   d=4
    (m0+3, t7, t5)  =  (39, 41, 43)   d=2
    (m0+3, t6, t3)  =  (39, 42, 45)   d=3
    (t8, t6, t4)  =  (40, 42, 44)   d=2
    (t8, t5, t2)  =  (40, 43, 46)   d=3
    (t8, t4, t0)  =  (40, 44, 48)   d=4
    (t7, t4, t1)  =  (41, 44, 47)   d=3
    (t6, t4, t2)  =  (42, 44, 46)   d=2
    (t5, t4, t3)  =  (43, 44, 45)   d=1
    (t4, t3, t2)  =  (44, 45, 46)   d=1
    (t3, t2, t1)  =  (45, 46, 47)   d=1
M=24 HALF-B {t1<b5,t3<b4}+(m0<t1): minimized AP-core, 39 triples (0s):
    (b1, b5, m0-3)  =  (25, 29, 33)   d=4
    (b1, m0-1, t3)  =  (25, 35, 45)   d=10
    (b3, b7, m0-1)  =  (27, 31, 35)   d=4
    (b3, m0+1, t1)  =  (27, 37, 47)   d=10
    (b4, b6, b8)  =  (28, 30, 32)   d=2
    (b4, b8, m0)  =  (28, 32, 36)   d=4
    (b4, m0-2, t8)  =  (28, 34, 40)   d=6
    (b4, m0-1, t6)  =  (28, 35, 42)   d=7
    (b4, m0+1, t2)  =  (28, 37, 46)   d=9
    (b5, m0-1, t7)  =  (29, 35, 41)   d=6
    (b5, m0+1, t3)  =  (29, 37, 45)   d=8
    (b6, m0-1, t8)  =  (30, 35, 40)   d=5
    (b6, m0, t6)  =  (30, 36, 42)   d=6
    (b7, m0-1, m0+3)  =  (31, 35, 39)   d=4
    (b7, m0+1, t5)  =  (31, 37, 43)   d=6
    (b8, m0-1, m0+2)  =  (32, 35, 38)   d=3
    (m0-3, m0+1, t7)  =  (33, 37, 41)   d=4
    (m0-2, m0+1, t8)  =  (34, 37, 40)   d=3
    (m0-2, t8, t2)  =  (34, 40, 46)   d=6
    (m0-1, m0, m0+1)  =  (35, 36, 37)   d=1
    (m0-1, m0+1, m0+3)  =  (35, 37, 39)   d=2
    (m0-1, m0+2, t7)  =  (35, 38, 41)   d=3
    (m0-1, m0+3, t5)  =  (35, 39, 43)   d=4
    (m0-1, t8, t3)  =  (35, 40, 45)   d=5
    (m0-1, t7, t1)  =  (35, 41, 47)   d=6
    (m0, m0+1, m0+2)  =  (36, 37, 38)   d=1
    (m0, t7, t2)  =  (36, 41, 46)   d=5
    (m0+1, m0+2, m0+3)  =  (37, 38, 39)   d=1
    (m0+1, m0+3, t7)  =  (37, 39, 41)   d=2
    (m0+1, t8, t5)  =  (37, 40, 43)   d=3
    (m0+1, t7, t3)  =  (37, 41, 45)   d=4
    (m0+2, m0+3, t8)  =  (38, 39, 40)   d=1
    (m0+2, t7, t4)  =  (38, 41, 44)   d=3
    (m0+3, t7, t5)  =  (39, 41, 43)   d=2
    (m0+3, t5, t1)  =  (39, 43, 47)   d=4
    (t8, t5, t2)  =  (40, 43, 46)   d=3
    (t7, t6, t5)  =  (41, 42, 43)   d=1
    (t7, t5, t3)  =  (41, 43, 45)   d=2
    (t6, t5, t4)  =  (42, 43, 44)   d=1
M=32 HALF-A {t0<b6,t2<b5}+(t1<m0): minimized AP-core, 54 triples (0s):
    (b1, b11, t11)  =  (33, 43, 53)   d=10
    (b1, m0, t1)  =  (33, 48, 63)   d=15
    (b2, b6, b10)  =  (34, 38, 42)   d=4
    (b2, b10, m0+2)  =  (34, 42, 50)   d=8
    (b2, m0, t2)  =  (34, 48, 62)   d=14
    (b4, m0-2, t8)  =  (36, 46, 56)   d=10
    (b4, m0, t4)  =  (36, 48, 60)   d=12
    (b4, m0+1, t2)  =  (36, 49, 62)   d=13
    (b4, m0+2, t0)  =  (36, 50, 64)   d=14
    (b5, b11, m0+1)  =  (37, 43, 49)   d=6
    (b5, m0-3, t11)  =  (37, 45, 53)   d=8
    (b5, m0, t5)  =  (37, 48, 59)   d=11
    (b5, m0+1, t3)  =  (37, 49, 61)   d=12
    (b5, m0+2, t1)  =  (37, 50, 63)   d=13
    (b6, m0-2, t10)  =  (38, 46, 54)   d=8
    (b6, m0+2, t2)  =  (38, 50, 62)   d=12
    (b8, m0, t8)  =  (40, 48, 56)   d=8
    (b8, m0+2, t4)  =  (40, 50, 60)   d=10
    (b10, m0-2, m0+2)  =  (42, 46, 50)   d=4
    (b10, m0, t10)  =  (42, 48, 54)   d=6
    (b10, m0+1, t8)  =  (42, 49, 56)   d=7
    (b11, m0, t11)  =  (43, 48, 53)   d=5
    (b11, m0+1, t9)  =  (43, 49, 55)   d=6
    (b11, m0+2, t7)  =  (43, 50, 57)   d=7
    (b11, t11, t1)  =  (43, 53, 63)   d=10
    (m0-3, m0+1, t11)  =  (45, 49, 53)   d=4
    (m0-3, t11, t3)  =  (45, 53, 61)   d=8
    (m0-2, m0, m0+2)  =  (46, 48, 50)   d=2
    (m0-2, m0+2, t10)  =  (46, 50, 54)   d=4
    (m0-2, t10, t2)  =  (46, 54, 62)   d=8
    (m0, m0+2, t12)  =  (48, 50, 52)   d=2
    (m0, t12, t8)  =  (48, 52, 56)   d=4
    (m0, t11, t6)  =  (48, 53, 58)   d=5
    (m0, t8, t0)  =  (48, 56, 64)   d=8
    (m0+1, t11, t7)  =  (49, 53, 57)   d=4
    (m0+1, t10, t5)  =  (49, 54, 59)   d=5
    (m0+1, t8, t1)  =  (49, 56, 63)   d=7
    (m0+2, t11, t8)  =  (50, 53, 56)   d=3
    (m0+2, t10, t6)  =  (50, 54, 58)   d=4
    (m0+2, t8, t2)  =  (50, 56, 62)   d=6
    (t12, t10, t8)  =  (52, 54, 56)   d=2
    (t11, t9, t7)  =  (53, 55, 57)   d=2
    (t11, t6, t1)  =  (53, 58, 63)   d=5
    (t10, t8, t6)  =  (54, 56, 58)   d=2
    (t10, t6, t2)  =  (54, 58, 62)   d=4
    (t9, t7, t5)  =  (55, 57, 59)   d=2
    (t8, t6, t4)  =  (56, 58, 60)   d=2
    (t8, t5, t2)  =  (56, 59, 62)   d=3
    (t8, t4, t0)  =  (56, 60, 64)   d=4
    (t6, t5, t4)  =  (58, 59, 60)   d=1
    (t6, t4, t2)  =  (58, 60, 62)   d=2
    (t5, t4, t3)  =  (59, 60, 61)   d=1
    (t4, t3, t2)  =  (60, 61, 62)   d=1
    (t3, t2, t1)  =  (61, 62, 63)   d=1
M=32 HALF-B {t1<b5,t3<b4}+(m0<t1): minimized AP-core, 61 triples (0s):
    (b1, b5, b9)  =  (33, 37, 41)   d=4
    (b1, b8, m0-1)  =  (33, 40, 47)   d=7
    (b1, b11, t11)  =  (33, 43, 53)   d=10
    (b1, m0-1, t3)  =  (33, 47, 61)   d=14
    (b1, m0, t1)  =  (33, 48, 63)   d=15
    (b3, b7, b11)  =  (35, 39, 43)   d=4
    (b3, b11, m0+3)  =  (35, 43, 51)   d=8
    (b3, m0+1, t1)  =  (35, 49, 63)   d=14
    (b4, b6, b8)  =  (36, 38, 40)   d=2
    (b4, b11, m0+2)  =  (36, 43, 50)   d=7
    (b4, m0-1, t6)  =  (36, 47, 58)   d=11
    (b4, m0+1, t2)  =  (36, 49, 62)   d=13
    (b5, b9, m0-3)  =  (37, 41, 45)   d=4
    (b5, m0-3, t11)  =  (37, 45, 53)   d=8
    (b5, m0-1, t7)  =  (37, 47, 57)   d=10
    (b5, m0+1, t3)  =  (37, 49, 61)   d=12
    (b6, b8, b10)  =  (38, 40, 42)   d=2
    (b6, m0-1, t8)  =  (38, 47, 56)   d=9
    (b6, m0+1, t4)  =  (38, 49, 60)   d=11
    (b6, m0+3, t0)  =  (38, 51, 64)   d=13
    (b7, m0-1, t9)  =  (39, 47, 55)   d=8
    (b7, m0+3, t1)  =  (39, 51, 63)   d=12
    (b8, b10, b12)  =  (40, 42, 44)   d=2
    (b8, m0+1, t6)  =  (40, 49, 58)   d=9
    (b8, m0+3, t2)  =  (40, 51, 62)   d=11
    (b9, m0-3, m0+1)  =  (41, 45, 49)   d=4
    (b9, m0+3, t3)  =  (41, 51, 61)   d=10
    (b10, b12, m0-2)  =  (42, 44, 46)   d=2
    (b10, m0+1, t8)  =  (42, 49, 56)   d=7
    (b10, m0+3, t4)  =  (42, 51, 60)   d=9
    (b11, m0-1, m0+3)  =  (43, 47, 51)   d=4
    (b11, m0, t11)  =  (43, 48, 53)   d=5
    (b11, m0+1, t9)  =  (43, 49, 55)   d=6
    (b11, t11, t1)  =  (43, 53, 63)   d=10
    (b12, m0-2, m0)  =  (44, 46, 48)   d=2
    (m0-3, m0+1, t11)  =  (45, 49, 53)   d=4
    (m0-3, m0+3, t7)  =  (45, 51, 57)   d=6
    (m0-3, t11, t3)  =  (45, 53, 61)   d=8
    (m0-2, m0, m0+2)  =  (46, 48, 50)   d=2
    (m0-1, m0+1, m0+3)  =  (47, 49, 51)   d=2
    (m0-1, m0+3, t9)  =  (47, 51, 55)   d=4
    (m0-1, t11, t5)  =  (47, 53, 59)   d=6
    (m0-1, t9, t1)  =  (47, 55, 63)   d=8
    (m0, m0+2, t12)  =  (48, 50, 52)   d=2
    (m0, t11, t6)  =  (48, 53, 58)   d=5
    (m0+1, m0+3, t11)  =  (49, 51, 53)   d=2
    (m0+1, t11, t7)  =  (49, 53, 57)   d=4
    (m0+1, t8, t1)  =  (49, 56, 63)   d=7
    (m0+2, t12, t10)  =  (50, 52, 54)   d=2
    (m0+2, t11, t8)  =  (50, 53, 56)   d=3
    (m0+3, t11, t9)  =  (51, 53, 55)   d=2
    (m0+3, t10, t7)  =  (51, 54, 57)   d=3
    (m0+3, t9, t5)  =  (51, 55, 59)   d=4
    (t12, t10, t8)  =  (52, 54, 56)   d=2
    (t11, t6, t1)  =  (53, 58, 63)   d=5
    (t10, t8, t6)  =  (54, 56, 58)   d=2
    (t10, t7, t4)  =  (54, 57, 60)   d=3
    (t8, t6, t4)  =  (56, 58, 60)   d=2
    (t7, t4, t1)  =  (57, 60, 63)   d=3
    (t6, t4, t2)  =  (58, 60, 62)   d=2
    (t4, t2, t0)  =  (60, 62, 64)   d=2
