M=21 (5 mod 8): c-=31 c+=32
  t0 before c-: killed by ['t2b5+t5b3']
  t0 after c-: killed by ['t0b6+t2b5+t5b3']
  t0 before c+: killed by ['t0b6+t2b5+t5b3']
  t0 after c+: killed by ['t0b6+t5b3']
  t1 before c-: killed by ['t0b6+t2b5+t5b3']
  t1 after c-: killed by ['t0b6+t2b5+t5b3']
  t1 before c+: killed by ['t0b6+t2b5']
  t1 after c+: killed by ['t2b5+t5b3']
  t2 before c-: killed by ['t2b5+t5b3']
  t2 after c-: killed by ['t0b6+t2b5']
  t2 before c+: killed by ['t0b6+t2b5+t5b3']
  t2 after c+: killed by ['t0b6+t2b5+t5b3']
  t3 before c-: killed by ['t0b6+t2b5+t5b3']
  t3 after c-: killed by ['t0b6+t2b5+t5b3']
  t3 before c+: killed by ['t0b6+t2b5']
  t3 after c+: killed by ['t2b5+t5b3']
  t4 before c-: killed by ['t2b5+t5b3']
  t4 after c-: killed by ['t0b6+t2b5']
  t4 before c+: killed by ['t0b6+t2b5+t5b3']
  t4 after c+: killed by ['t0b6+t5b3']
  t5 before c-: killed by ['t0b6+t2b5+t5b3']
  t5 after c-: killed by ['t0b6+t5b3']
  t5 before c+: killed by ['t0b6+t2b5']
  t5 after c+: killed by ['t2b5+t5b3']
  t6 before c-: killed by ['t2b5+t5b3']
  t6 after c-: killed by ['t0b6+t2b5']
  t6 before c+: killed by ['t0b6+t2b5+t5b3']
  t6 after c+: killed by ['t0b6+t2b5+t5b3']
  t7 before c-: killed by ['t0b6+t2b5+t5b3']
  t7 after c-: killed by ['t0b6+t2b5+t5b3']
  t7 before c+: killed by ['t0b6+t2b5']
  t7 after c+: killed by ['t2b5+t5b3']
M=29 (5 mod 8): c-=43 c+=44
  t0 before c-: killed by ['t2b5+t5b3']
  t0 after c-: killed by ['t0b6+t2b5+t5b3']
  t0 before c+: killed by ['t0b6+t2b5+t5b3']
  t0 after c+: killed by ['t0b6+t5b3']
  t1 before c-: killed by ['t0b6+t2b5+t5b3']
  t1 after c-: killed by ['t0b6+t2b5+t5b3']
  t1 before c+: killed by ['t0b6+t2b5']
  t1 after c+: killed by ['t2b5+t5b3']
  t2 before c-: killed by ['t2b5+t5b3']
  t2 after c-: killed by ['t0b6+t2b5']
  t2 before c+: killed by ['t0b6+t2b5+t5b3']
  t2 after c+: killed by ['t0b6+t2b5+t5b3']
  t3 before c-: killed by ['t0b6+t2b5+t5b3']
  t3 after c-: killed by ['t0b6+t2b5+t5b3']
  t3 before c+: killed by ['t0b6+t2b5']
  t3 after c+: killed by ['t2b5+t5b3']
  t4 before c-: killed by ['t2b5+t5b3']
  t4 after c-: killed by ['t0b6+t2b5']
  t4 before c+: killed by ['t0b6+t2b5+t5b3']
  t4 after c+: killed by ['t0b6+t5b3']
  t5 before c-: killed by ['t0b6+t2b5+t5b3']
  t5 after c-: killed by ['t0b6+t5b3']
  t5 before c+: killed by ['t0b6+t2b5']
  t5 after c+: killed by ['t2b5+t5b3']
  t6 before c-: killed by ['t2b5+t5b3']
  t6 after c-: killed by ['t0b6+t2b5']
  t6 before c+: killed by ['t0b6+t2b5+t5b3']
  t6 after c+: killed by ['t0b6+t2b5+t5b3']
  t7 before c-: killed by ['t0b6+t2b5+t5b3']
  t7 after c-: killed by ['t0b6+t2b5+t5b3']
  t7 before c+: killed by ['t0b6+t2b5']
  t7 after c+: killed by ['t2b5+t5b3']
M=37 (5 mod 8): c-=55 c+=56
  t0 before c-: killed by ['t2b5+t5b3']
  t0 after c-: killed by ['t0b6+t2b5+t5b3']
  t0 before c+: killed by ['t0b6+t2b5+t5b3']
  t0 after c+: killed by ['t0b6+t5b3']
  t1 before c-: killed by ['t0b6+t2b5+t5b3']
  t1 after c-: killed by ['t0b6+t2b5+t5b3']
  t1 before c+: killed by ['t0b6+t2b5']
  t1 after c+: killed by ['t2b5+t5b3']
  t2 before c-: killed by ['t2b5+t5b3']
  t2 after c-: killed by ['t0b6+t2b5']
  t2 before c+: killed by ['t0b6+t2b5+t5b3']
  t2 after c+: killed by ['t0b6+t2b5+t5b3']
  t3 before c-: killed by ['t0b6+t2b5+t5b3']
  t3 after c-: killed by ['t0b6+t2b5+t5b3']
  t3 before c+: killed by ['t0b6+t2b5']
  t3 after c+: killed by ['t2b5+t5b3']
  t4 before c-: killed by ['t2b5+t5b3']
  t4 after c-: killed by ['t0b6+t2b5']
  t4 before c+: killed by ['t0b6+t2b5+t5b3']
  t4 after c+: killed by ['t0b6+t5b3']
  t5 before c-: killed by ['t0b6+t2b5+t5b3']
  t5 after c-: killed by ['t0b6+t5b3']
  t5 before c+: killed by ['t0b6+t2b5']
  t5 after c+: killed by ['t2b5+t5b3']
  t6 before c-: killed by ['t2b5+t5b3']
  t6 after c-: killed by ['t0b6+t2b5']
  t6 before c+: killed by ['t0b6+t2b5+t5b3']
  t6 after c+: killed by ['t0b6+t2b5+t5b3']
  t7 before c-: killed by ['t0b6+t2b5+t5b3']
  t7 after c-: killed by ['t0b6+t2b5+t5b3']
  t7 before c+: killed by ['t0b6+t2b5']
  t7 after c+: killed by ['t2b5+t5b3']
done
