M=80: fan-clean base with 4345 fan patterns
  7000 same-parity P0xP2 pairs
  Phi=0 SAT; witness sizes A=[40, 42, 87] B=[40, 54, 88] U_A mod2={1: 40} Z_A mod2={0: 87}
  K=2: SAT (phi=520, sizes A=[40, 26, 100] B=[40, 70, 75]) [0.0s]
  K=3: SAT (phi=1432, sizes A=[64, 93, 3] B=[16, 3, 172]) [0.0s]
  K=4: SAT (phi=1776, sizes A=[48, 10, 114] B=[32, 86, 61]) [0.0s]
  K=5: SAT (phi=480, sizes A=[40, 25, 99] B=[40, 71, 76]) [0.0s]
  K=6: SAT (phi=1848, sizes A=[46, 12, 121] B=[34, 84, 54]) [0.0s]
  K=7: SAT (phi=2240, sizes A=[40, 89, 31] B=[40, 7, 144]) [0.0s]
  K=8: SAT (phi=960, sizes A=[40, 82, 63] B=[40, 14, 112]) [0.0s]
  K=9: SAT (phi=1080, sizes A=[40, 9, 114] B=[40, 87, 61]) [0.0s]
  K=10: SAT (phi=1160, sizes A=[40, 86, 58] B=[40, 10, 117]) [0.0s]
  K=11: SAT (phi=800, sizes A=[40, 24, 107] B=[40, 72, 68]) [0.0s]
  K=12: SAT (phi=440, sizes A=[40, 68, 76] B=[40, 28, 99]) [0.0s]
  K=13: SAT (phi=1000, sizes A=[40, 83, 62] B=[40, 13, 113]) [0.0s]
  K=14: SAT (phi=560, sizes A=[40, 25, 101] B=[40, 71, 74]) [0.0s]
  K=15: SAT (phi=560, sizes A=[40, 22, 101] B=[40, 74, 74]) [0.0s]
  K=16: SAT (phi=728, sizes A=[41, 16, 104] B=[39, 80, 71]) [0.0s]
  K=17: SAT (phi=600, sizes A=[40, 20, 102] B=[40, 76, 73]) [0.0s]
  K=18: SAT (phi=880, sizes A=[40, 18, 109] B=[40, 78, 66]) [0.0s]
  K=19: SAT (phi=160, sizes A=[40, 60, 83] B=[40, 36, 92]) [0.0s]
  K=20: SAT (phi=240, sizes A=[40, 65, 81] B=[40, 31, 94]) [0.0s]
  K=21: SAT (phi=280, sizes A=[40, 66, 80] B=[40, 30, 95]) [0.0s]
  K=22: SAT (phi=760, sizes A=[40, 22, 106] B=[40, 74, 69]) [0.0s]
  K=23: SAT (phi=520, sizes A=[40, 23, 100] B=[40, 73, 75]) [0.0s]
  K=24: SAT (phi=440, sizes A=[40, 24, 98] B=[40, 72, 77]) [0.0s]
  K=25: SAT (phi=160, sizes A=[40, 37, 91] B=[40, 59, 84]) [0.0s]
  K=26: SAT (phi=120, sizes A=[40, 58, 84] B=[40, 38, 91]) [0.1s]
  K=27: SAT (phi=400, sizes A=[40, 27, 97] B=[40, 69, 78]) [0.1s]
  K=28: SAT (phi=160, sizes A=[40, 35, 91] B=[40, 61, 84]) [0.2s]
  K=29: SAT (phi=360, sizes A=[40, 29, 96] B=[40, 67, 79]) [0.2s]
  K=30: SAT (phi=320, sizes A=[40, 34, 95] B=[40, 62, 80]) [0.2s]
  K=31: SAT (phi=160, sizes A=[40, 33, 91] B=[40, 63, 84]) [0.1s]
  K=32: SAT (phi=280, sizes A=[40, 32, 94] B=[40, 64, 81]) [0.0s]
  K=33: SAT (phi=280, sizes A=[40, 63, 80] B=[40, 33, 95]) [0.2s]
  K=34: SAT (phi=280, sizes A=[40, 34, 94] B=[40, 62, 81]) [0.1s]
  K=35: SAT (phi=160, sizes A=[40, 35, 91] B=[40, 61, 84]) [0.0s]
  K=36: SAT (phi=160, sizes A=[40, 36, 91] B=[40, 60, 84]) [0.1s]
  K=37: SAT (phi=120, sizes A=[40, 37, 90] B=[40, 59, 85]) [0.5s]
  K=38: SAT (phi=160, sizes A=[40, 38, 91] B=[40, 58, 84]) [0.0s]
  K=39: SAT (phi=120, sizes A=[40, 57, 84] B=[40, 39, 91]) [0.1s]
  K=40: SAT (phi=80, sizes A=[40, 56, 85] B=[40, 40, 90]) [0.1s]
  K=41: SAT (phi=120, sizes A=[40, 55, 84] B=[40, 41, 91]) [0.2s]
  K=42: UNSAT [0.8s]  — K*(80) = 42
  K=48: UNSAT (tail confirmed)
e149: DONE M=80 K*=42
