[XVAL] p=17 M=80 (flip, M%8=0): C3(p) UNSAT (exp UNSAT), rung UNSAT (exp UNSAT) [OK, 0.1s]
[XVAL] p=17 M=84 (comp, M%8=4): C3(p) SAT (exp SAT), rung UNSAT (exp UNSAT) [OK, 0.1s]
[XVAL] p=17 M=88 (flip, M%8=0): C3(p) UNSAT (exp UNSAT), rung UNSAT (exp UNSAT) [OK, 0.3s]
[XVAL] p=17 M=92 (comp, M%8=4): C3(p) SAT (exp SAT), rung UNSAT (exp UNSAT) [OK, 0.4s]
[XVAL] p=17 M=96 (flip, M%8=0): C3(p) UNSAT (exp UNSAT), rung UNSAT (exp UNSAT) [OK, 0.4s]
[XVAL] p=17 M=100 (comp, M%8=4): C3(p) SAT (exp SAT), rung UNSAT (exp UNSAT) [OK, 0.4s]
[XVAL] p=17 M=104 (flip, M%8=0): C3(p) UNSAT (exp UNSAT), rung UNSAT (exp UNSAT) [OK, 0.4s]
[XVAL] p=17 M=108 (comp, M%8=4): C3(p) SAT (exp SAT), rung UNSAT (exp UNSAT) [OK, 0.5s]
[XVAL] p=17 M=256 (flip, M%8=0): C3(p) UNSAT (exp UNSAT), rung UNSAT (exp UNSAT) [OK, 11.2s]
[XVAL] p=17 M=260 (comp, M%8=4): C3(p) SAT (exp SAT), rung UNSAT (exp UNSAT) [OK, 5.6s]
[XVAL] p=21 M=96 (flip, M%8=0): C3(p) UNSAT (exp UNSAT), rung UNSAT (exp UNSAT) [OK, 0.2s]
[XVAL] p=21 M=100 (comp, M%8=4): C3(p) SAT (exp SAT), rung UNSAT (exp UNSAT) [OK, 0.2s]
[XVAL] p=21 M=104 (flip, M%8=0): C3(p) UNSAT (exp UNSAT), rung UNSAT (exp UNSAT) [OK, 0.2s]
[XVAL] p=21 M=108 (comp, M%8=4): C3(p) SAT (exp SAT), rung UNSAT (exp UNSAT) [OK, 0.3s]
[XVAL] p=21 M=112 (flip, M%8=0): C3(p) UNSAT (exp UNSAT), rung UNSAT (exp UNSAT) [OK, 0.3s]
[XVAL] p=21 M=116 (comp, M%8=4): C3(p) SAT (exp SAT), rung UNSAT (exp UNSAT) [OK, 0.4s]
[XVAL] p=21 M=120 (flip, M%8=0): C3(p) UNSAT (exp UNSAT), rung UNSAT (exp UNSAT) [OK, 0.4s]
[XVAL] p=21 M=124 (comp, M%8=4): C3(p) SAT (exp SAT), rung UNSAT (exp UNSAT) [OK, 0.5s]
[XVAL] p=21 M=256 (flip, M%8=0): C3(p) UNSAT (exp UNSAT), rung UNSAT (exp UNSAT) [OK, 7.5s]
[XVAL] p=21 M=260 (comp, M%8=4): C3(p) SAT (exp SAT), rung UNSAT (exp UNSAT) [OK, 7.1s]
total 36s -> /Users/will/Dev/personal/tasks/math/erdos197/data/e180_diag_grow.json
